ISIN,Wertpapier,Gewichtung in %
CA82509L1076,SHOPIFY A SUB.VTG,"2,9"
CH0012005267,NOVARTIS NAMEN,"0,9"
CNE100000296,BYD,"0,8"
DE0006070006,HOCHTIEF AG,"3,4"
DE0006335003,KRONES AG O.N.,"2,4"
DE0008404005,ALLIANZ AG VNA O.N.,"10,2"
DE0008430026,MUENCH.RUECKVERS.VNA O.N.,"5,2"
DK0062498333,"NOVO-NORDISK AS B  DK 0,1","2,5"
GB0002875804,BRIT AM TOBACCO,1
GB0008706128,LLOYDS TSB,"0,8"
IE000YYE6WK5,VANECKETFSDFNS ADLA,"3,2"
IE0031442068,ISHS-CORE S+P 500 DL D,"3,3"
IE00B4L5Y983,ISHSIII-CORE MSCI WLD DLA,"3,4"
IE00B8GKDB10,VA.FTSE A.W.H.D.Y.UETFDLD,"2,8"
IE00B8HGT870,WITR MU.AS.I.GOLD ETP2062,1
IE00BF2B0M76,FRAN.LIB.Q GL.DIV.UC.DLD,9
IE00BYXVGZ48,FIDELITY GL.QUAL.INC. INC,"2,4"
KYG9830T1067,XIAOMI CORP. CL.B,"0,8"
NO0011082075,"HOEGH AUTOLINERS NK 21,20","5,8"
SG1T75931496,"SINGAPORE TELE.    SD-,15","0,9"
SGXZ69436764,"BW LPG LTD        DL -,01","0,4"
US02079K1079,"ALPHABET INC.CL.C DL-,001","2,2"
US02209S1033,ALTRIA GROUP INC.,"1,9"
US04010L1035,ARES CAPITAL CORP.,"1,6"
US1729081059,CINTAS CORP.,"3,3"
US2296631094,CUBESMART,"2,5"
US46284V1017,"IRON MOUNTAIN (NEW)DL-,01","3,8"
US4781601046,JOHNSON + JOHNSON,"1,2"
US56035L1044,"MAIN STREET CAP.CP.DL-,01","1,6"
US58733R1023,"MERCADOLIBRE INC. DL-,001","1,9"
US65339F1012,"NEXTERA ENERGY INC.DL-,01","0,8"
US67066G1040,"NVIDIA CORP.      DL-,001","6,8"
US6819361006,OMEGA HEALTHC. INV. DL-10,"1,3"
US71654V1017,PETROL.BRAS.PFD ADR/2 O.N,"1,7"
US7427181091,PROCTER GAMBLE,"3,1"
US7561091049,REALTY INC. CORP.    DL 1,"1,8"
US85208M1027,"SPROUTS FMRS MKT  DL-,001","1,5"
Cash,,0
